N° Orden,Fecha Venta,Id Comisionista,Id Canal,IdCombo,IdProducto,Tipo,Monto,Codigo
53,24/05/2018,COM-082,EN,M-RCG,CMR,COMISION,961,FACT-073
54,25/05/2018,COM-083,FI,M-SDA,CPB4,COMISION,764.3,FACT-074
55,26/05/2018,COM-084,FP,M-SDAJ,CPBE,COMISION,265.9,FACT-075
56,27/05/2018,COM-085,GN,M-SDAO,CPCAR,COMISION,358.4,FACT-076
57,28/05/2018,COM-086,OW,M-SDPJ,CPRSC,COMISION,168.3,FACT-077
58,29/05/2018,COM-087,RT,M-SDPO,CPRSR,COMISION,79.68,FACT-078
59,30/05/2018,COM-088,SM,M-SFA,CPSB,COMISION,534.8,FACT-079
60,31/05/2018,COM-089,SO,M-SFAO,CPSIM,COMISION,961.7,FACT-080
61,1/05/2018,COM-090,SS,M-SFP,CPSIMA,COMISION,586.4,FACT-081
62,2/05/2018,COM-091,UN,M-SOSUP,CPST,COMISION,358.6,FACT-082
63,3/05/2018,COM-092,UP,N-MRM,CPTRA,COMISION,951.2,FACT-083
64,4/05/2018,COM-093,VC,M-MGP,CPV4,COMISION,658.48,FACT-084
65,5/05/2018,COM-094,AT,M-MCFDCP,CUPPQD,COMISION,1568.9,FACT-085
66,6/05/2018,COM-095,BD,M-MCFFC,CUPPQV,COMISION,45.26,FACT-086
67,7/05/2018,COM-096,CB,M-MCFFCA,GDOW,COMISION,486.9,FACT-087
68,8/05/2018,COM-097,CL,M-MCFFCP,GRET,COMISION,578.6,FACT-088
69,9/05/2018,COM-098,CN,M-SDPO,GRETB,COMISION,235.9,FACT-089
70,10/05/2018,COM-099,CV,M-SFA,GRETM,COMISION,654.3,FACT-090
71,11/05/2018,COM-100,EN,M-SFAO,HP,COMISION,265.1,FACT-091
72,12/05/2018,COM-101,FI,M-SFP,LSPR,COMISION,453.9,FACT-092
73,13/05/2018,COM-102,FP,M-SFPO,LSPRE,COMISION,784.6,FACT-093
74,14/05/2018,COM-103,GN,M-SOCUP,MCM7ED4,COMISION,534.8,FACT-094
75,15/05/2018,COM-104,GS,M-SOSUP,MCPB4,COMISION,961.7,FACT-095
76,16/05/2018,COM-105,OD,M-CFF,CCARE,COMISION,586.4,FACT-096
77,17/05/2018,COM-106,OG,M-CFG,CCPA,COMISION,358.6,FACT-097
78,18/05/2018,COM-107,OL,M-CFGC,CCPC,COMISION,951.2,FACT-098
79,19/05/2018,COM-088,AP,M-MCFFC,CM7T013,COMISION,658.48,FACT-099
80,20/05/2018,COM-089,AT,M-MCFFCA,CM7T1,COMISION,235.9,FACT-100
81,21/05/2018,COM-090,BD,M-MCFFCP,CM7T5,COMISION,654.3,FACT-101
82,22/05/2018,COM-091,CB,M-MGP,CM7T7,COMISION,265.1,FACT-102
83,23/05/2018,COM-092,CL,M-MRG,CM7T8,COMISION,453.9,FACT-103
84,24/05/2018,COM-093,CN,M-PVR,CMIGRA,COMISION,784.6,FACT-104
85,25/05/2018,COM-094,CV,M-RCF,CMNT,COMISION,534.8,FACT-105
86,26/05/2018,COM-115,MT,M-APPSR,CBAF4G,COMISION,961.7,FACT-106
87,27/05/2018,COM-116,NP,M-CFAP,CCAAM,COMISION,789.65,FACT-107
88,28/05/2018,COM-117,NS,M-CFCUP,CCACO,COMISION,486.2,FACT-108
89,27/05/2018,COM-118,NT,M-CFD,CCANM,COMISION,564.3,FACT-109
90,28/05/2018,COM-119,OD,M-CFF,CCARE,COMISION,961,FACT-110
91,29/05/2018,COM-120,OG,M-CFG,CCPA,COMISION,764.3,BOL-174
92,30/05/2018,COM-088,OL,M-CFGC,CCPC,COMISION,654.3,BOL-175
93,31/05/2018,COM-089,AP,M-MCFFC,CM7T013,COMISION,265.1,BOL-176
94,20/05/2018,COM-090,AT,M-MCFFCA,CM7T1,COMISION,453.9,BOL-177
95,21/05/2018,COM-091,CB,M-MGP,CM7T7,COMISION,784.6,BOL-178
96,22/05/2018,COM-092,CL,M-MRG,CM7T8,COMISION,534.8,BOL-179
97,23/05/2018,COM-093,CN,M-PVR,CMIGRA,COMISION,961.7,BOL-180
98,24/05/2018,COM-094,CV,M-RCF,CMNT,COMISION,586.4,BOL-181
99,25/05/2018,COM-095,MT,M-APPSR,CBAF4G,COMISION,358.6,BOL-182
100,26/05/2018,COM-096,NP,M-CFAP,CCAAM,COMISION,951.2,BOL-183
